period_end,model,forecast_revenue,lower_ci,upper_ci
2026-03-31,linear_regression,2133.7368505263153,744.120747878283,3523.3529531743475
2026-06-30,linear_regression,2164.2769221736153,774.6608195255831,3553.8930248216475
2026-09-30,linear_regression,2194.8169938209153,805.2008911728831,3584.4330964689475
2026-12-31,linear_regression,2225.3570654682153,835.7409628201831,3614.9731681162475
2026-03-31,arima,1182.9096679764198,-30.230174618649926,2396.0495105714895
2026-06-30,arima,1206.275718333216,-532.1716198544698,2944.723056520902
2026-09-30,arima,1188.0762361298393,-935.8706810160943,3312.023153275773
2026-12-31,arima,1202.2515523434622,-1257.001750060865,3661.5048547477895
2025-12-31,prophet,3740.1828999473423,2877.216776334739,4561.0484801462635
2026-03-31,prophet,518.2485430191196,-403.0449537673191,1425.6711308267215
2026-06-30,prophet,-977.5727698323662,-1846.6729788203345,-141.5534284507478
2026-09-30,prophet,10530.858324232531,9708.771640415493,11361.38009812826
