"wacc","terminal_growth","enterprise_value_musd"
"0.08","0.01","49594.28328683035"
"0.09","0.01","42689.82395983297"
"0.1","0.01","37343.37879409706"
"0.11","0.01","33086.5173972714"
"0.12","0.01","29621.2013874711"
"0.13","0.01","26748.78445172817"
"0.14","0.01","24331.78183470455"
"0.08","0.02","56762.74467773439"
"0.09","0.02","47871.5714302349"
"0.1","0.02","41229.05873840746"
"0.11","0.02","36084.54645784171"
"0.12","0.02","31987.69581956473"
"0.13","0.02","28651.97625102769"
"0.14","0.02","25886.40902472611"
"0.08","0.03","66798.590625"
"0.09","0.03","54780.56805743746"
"0.1","0.03","46224.93295252082"
"0.11","0.03","39832.08278355459"
"0.12","0.03","34880.07790323473"
"0.13","0.03","30935.80641018711"
"0.14","0.03","27723.6957038425"
"0.08","0.04","81852.35954589843"
"0.09","0.04","64453.16333552104"
"0.1","0.04","52886.09857133863"
"0.11","0.04","44650.34377375687"
"0.12","0.04","38495.55550782222"
"0.13","0.04","33727.15438249308"
"0.14","0.04","29928.43971878217"
"0.08","0.05","106941.9744140625"
"0.09","0.05","78962.05625264643"
"0.1","0.05","62211.73043768358"
"0.11","0.05","51074.69176069325"
"0.12","0.05","43144.02671372044"
"0.13","0.05","37216.33934787553"
"0.14","0.05","32623.12684815287"
