"period_end","model","forecast_revenue","lower_ci","upper_ci","is_best_model"
"2026-01-31","linear_regression","1553.8211464598637","1195.2012218404652","2019.9549642151906","false"
"2026-04-30","linear_regression","1706.3593429978148","1312.556441436939","2218.2239588373077","false"
"2026-07-31","linear_regression","1873.862541430697","1441.4249811296309","2435.9444478888076","false"
"2026-10-31","linear_regression","2057.7989070233302","1582.9363734616504","2675.0247511060034","false"
"2026-01-31","arima","1277.1343348236583","1217.3381784308551","1339.865292392895","true"
"2026-04-30","arima","1339.3859697232012","1239.5840173912595","1447.2167452139422","true"
"2026-07-31","arima","1399.4931830649036","1258.5083419721418","1556.2593610139409","true"
"2026-10-31","arima","1457.3245210163311","1273.1155718079551","1668.1660126088357","true"
"2026-01-31","prophet","1197.9040463262131","1155.0161196765325","1241.7385585141978","false"
"2026-04-30","prophet","1246.8606091200477","1204.2758763726756","1291.4578283324092","false"
"2026-07-31","prophet","1285.9712405662494","1239.2575473070838","1328.8502877397746","false"
"2026-10-31","prophet","1338.3887205304525","1291.632119613756","1379.3222058404322","false"
